Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
0.0,Tue Mar 20 19:03:04 +0000 2018,0.0,1.0,0.0,"Michael Portillo travels across India guided by Bradshaw's 1913 Handbook of Indian, Foreign and Colonial Travel. ??… https://t.co/4WG0esDk8m",0,@BBC
-0.3859,Tue Mar 20 18:33:01 +0000 2018,0.16,0.768,0.071,"Can you watch this without laughing? ?? You'll want your sound on for this! #InternationalDayOfHappiness

https://t.co/vA5yr0PCC5",1,@BBC
0.34,Tue Mar 20 17:33:03 +0000 2018,0.102,0.738,0.16,"Professor Stephen Hawking's funeral will take place in Cambridge - ""the city that he loved so much and which loved… https://t.co/LHh0Nfeh6U",2,@BBC
0.0,Tue Mar 20 17:03:01 +0000 2018,0.0,1.0,0.0,"Un-bee-lievable! ?? Meet the woman who kept a bee as a pet. 
https://t.co/5zRxWpSGOH",3,@BBC
0.0,Tue Mar 20 16:05:04 +0000 2018,0.0,1.0,0.0,"Arise, Sir Ringo! ??@thebeatles drummer @ringostarrmusic has been knighted for his services to music.… https://t.co/OQLixgO2Zi",4,@BBC
0.0,Tue Mar 20 15:33:03 +0000 2018,0.0,1.0,0.0,The first polar bear cub to be born in the UK for 25 years has emerged from his den at Scotland's Highland Wildlife… https://t.co/WZLoy2mz7y,5,@BBC
0.4084,Tue Mar 20 15:03:02 +0000 2018,0.0,0.868,0.132,"'Everybody has a voice'. ????

Rugby legends JPR Williams and JJ Williams visit @FMNChorus and the BBC National Cho… https://t.co/myuIpumZnL",6,@BBC
0.6369,Tue Mar 20 14:24:06 +0000 2018,0.0,0.741,0.259,?The best pictures from the 2018 Paralympic Winter Games in Pyeongchang: https://t.co/w8dYDPHkAw https://t.co/0SVnupv9rB,7,@BBC
0.0,Tue Mar 20 14:03:04 +0000 2018,0.0,1.0,0.0,Prince Harry and Meghan Markle have chosen an organic lemon and elderflower cake for their wedding in May. ???… https://t.co/H7dWlxmYcR,8,@BBC
0.2235,Tue Mar 20 13:16:25 +0000 2018,0.0,0.881,0.119,"RT @BBCWalesNews: ???Cinema makes maths class an offer they can't refuse
Full story: https://t.co/Uwg6NTRFVF https://t.co/hr4dglHIu3",9,@BBC
-0.4023,Tue Mar 20 13:02:01 +0000 2018,0.162,0.838,0.0,"People always have an opinion. ?? Here's why @AlanCarr doesn't trust TripAdvisor reviews. #LiveAtTheApollo 

https://t.co/PvF6K9hYMI",10,@BBC
0.6114,Tue Mar 20 11:03:23 +0000 2018,0.0,0.818,0.182,"From a spot of spring cleaning to rolling cheese down a hill... ???

Here are nine ways to celebrate spring!… https://t.co/ujBmBsHast",11,@BBC
-0.6369,Tue Mar 20 10:30:04 +0000 2018,0.271,0.636,0.093,"Sudan, the world's last surviving male northern white rhino has died after months of ill health. ??… https://t.co/BnYne3cI2L",12,@BBC
0.3642,Tue Mar 20 10:04:02 +0000 2018,0.0,0.827,0.173,"This #InternationalDayOfHappiness, let's all try to be a little more like @chessmartinez. ??#LiveAtTheApollo 

https://t.co/VddL8zWJfS",13,@BBC
0.0,Tue Mar 20 09:49:33 +0000 2018,0.0,1.0,0.0,"RT @BBCOne: They've finally quacked the case.

https://t.co/eq4dLcauhe",14,@BBC
-0.3182,Tue Mar 20 09:49:23 +0000 2018,0.19,0.683,0.127,"RT @BBCEarth: Sudan’s death leaves just two females of the subspecies alive in the world 
https://t.co/kCpRCxFaFY",15,@BBC
0.25,Tue Mar 20 09:49:10 +0000 2018,0.087,0.78,0.133,RT @bbcthree: RuPaul is the first drag queen to get a Hollywood star. Sissy that Walk of Fame.  https://t.co/SmqOPQizh3 https://t.co/hWb1Xm…,16,@BBC
0.0,Tue Mar 20 09:49:02 +0000 2018,0.0,1.0,0.0,"RT @BBCBreakfast: ????BBRRR....Could it be the coldest day yet for the Spring Equinox?
Let us know what temp it is where you are today.  #S…",17,@BBC
0.4939,Tue Mar 20 09:32:02 +0000 2018,0.0,0.814,0.186,"Meet Bumblebee and Gnat, two adorable badger cubs being raised at an animal sanctuary. ?
https://t.co/Ihami0VtL0",18,@BBC
0.0,Tue Mar 20 09:03:04 +0000 2018,0.0,1.0,0.0,Spring is here! But what is the #SpringEquinox? ????https://t.co/RiWP3PC7Yo https://t.co/FIKocYFP6C,19,@BBC
0.0,Tue Mar 20 08:25:06 +0000 2018,0.0,1.0,0.0,Five times Beyonce and Jay-Z’s daughter Blue Ivy outshone her parents. ?? https://t.co/JaNAzsofOm https://t.co/DnoyApY0yL,20,@BBC
0.0,Tue Mar 20 08:03:03 +0000 2018,0.0,1.0,0.0,Traditional Highland Games sports such as tossing the caber and tug-of-war are to be taught in PE lessons. ?… https://t.co/jv5wlpmlyT,21,@BBC
-0.3818,Mon Mar 19 19:33:04 +0000 2018,0.11,0.89,0.0,"Follow the dramatic and deadly series of events that took place at two funerals in Belfast in March 1988. 

The Fun… https://t.co/y3MZaR8hsi",22,@BBC
